States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,3230.0,2692.0,2515.0,4920.0,6240.0,6670.0,6670.0,4800.0,3584.0,,13324.2,,9090.4,,9519.8,8171.8,4360.0,,1500.0,2000.0,1280.0,1100.0,2018-07-01,1
Tamil Nadu,3370.0,2942.0,3084.0,6420.0,8760.0,8640.0,8460.0,5640.0,3560.0,,14837.2,9500.0,7673.6,,9517.0,6684.2,4390.0,,1587.5,1900.0,1800.0,2760.0,2019-07-01,1
Tamil Nadu,2504.0,2720.0,2455.0,10200.0,11730.0,14120.0,7400.0,7600.0,3926.0,,15136.8,,8158.4,,9023.4,6456.8,4299.0,,1540.0,2060.0,1260.0,920.0,2016-08-01,1
Tamil Nadu,3333.2,2715.0,2533.33,7160.0,5660.0,7860.0,5940.0,4750.0,4060.0,,13940.4,,8445.6,,8791.0,6139.8,4740.0,,1510.0,1340.0,1540.0,3820.0,2017-08-01,1
Tamil Nadu,3170.0,2760.0,2687.5,5710.0,6280.0,6580.0,6760.0,4993.33,3676.0,,13177.0,,9090.4,,9868.0,8062.0,4460.0,,1500.0,2200.0,1720.0,1260.0,2018-08-01,1
Tamil Nadu,3380.0,2950.0,3008.0,6220.0,8280.0,8220.0,8140.0,5700.0,3472.0,,14595.8,,7833.8,,9556.25,6611.8,4313.4,,1656.0,1820.0,1650.0,2620.0,2019-08-01,1
Tamil Nadu,2500.0,2720.0,2527.5,9280.0,9800.0,12770.0,6650.0,6900.0,3922.0,,15247.0,,8401.6,,9067.0,7307.0,4836.0,,1540.0,2060.0,1160.0,620.0,2016-09-01,1
Tamil Nadu,3339.4,2700.0,2533.33,7460.0,6320.0,8120.0,6480.0,4950.0,4084.0,,14051.8,9600.0,8422.8,,8818.5,6579.25,5210.0,,1510.0,1440.0,2360.0,2820.0,2017-09-01,1
Tamil Nadu,3137.5,3037.5,2883.33,5775.0,6312.5,6500.0,6812.5,5230.0,3605.0,,13035.5,,8661.0,,9687.0,7468.5,4600.0,,1512.5,2250.0,1350.0,687.5,2018-09-01,1
Tamil Nadu,3400.0,2940.0,3048.0,6280.0,8560.0,8390.0,8400.0,5780.0,3630.0,,15096.6,,7982.6,,9769.4,7008.0,4560.0,,1640.0,1720.0,2600.0,960.0,2019-09-01,1
Tamil Nadu,2655.0,2744.0,2527.5,10560.0,11060.0,11510.0,6960.0,6850.0,3890.0,,15078.6,,8511.6,,8999.2,7097.0,4692.0,,1540.0,1940.0,1280.0,1180.0,2016-10-01,1
Tamil Nadu,3312.5,2615.0,2420.0,7500.0,6350.0,8025.0,6470.0,4950.0,4118.0,,13607.0,,8749.0,,8598.25,6606.4,5120.0,,1487.5,1320.0,2000.0,1060.0,2017-10-01,1
Tamil Nadu,3037.5,2850.0,2815.0,5892.5,6287.5,6587.5,6962.5,5287.5,3550.0,,13565.0,,8729.5,,9790.75,7546.75,4466.75,,1512.5,2300.0,1275.0,775.0,2018-10-01,1
